title,ranks,link
谍影重重3,8.8,https://movie.douban.com/subject/1578507/
小丑,8.7,https://movie.douban.com/subject/27119724/
背靠背，脸对脸,9.5,https://movie.douban.com/subject/1307856/
上帝之城,9.0,https://movie.douban.com/subject/1292208/
英雄本色,8.6,https://movie.douban.com/subject/1297574/
心灵奇旅,8.7,https://movie.douban.com/subject/24733428/
风之谷,8.9,https://movie.douban.com/subject/1291585/
绿里奇迹,8.9,https://movie.douban.com/subject/1300374/
爱在午夜降临前,8.9,https://movie.douban.com/subject/10808442/
海街日记,8.8,https://movie.douban.com/subject/25895901/
纵横四海,8.8,https://movie.douban.com/subject/1295409/
卢旺达饭店,8.9,https://movie.douban.com/subject/1291822/
疯狂的石头,8.6,https://movie.douban.com/subject/1862151/
2001太空漫游,8.9,https://movie.douban.com/subject/1292226/
无间道2,8.8,https://movie.douban.com/subject/1307106/
记忆碎片,8.7,https://movie.douban.com/subject/1304447/
雨中曲,9.1,https://movie.douban.com/subject/1293460/
小偷家族,8.7,https://movie.douban.com/subject/27622447/
无敌破坏王,8.7,https://movie.douban.com/subject/6534248/
岁月神偷,8.7,https://movie.douban.com/subject/3792799/
忠犬八公物语,9.2,https://movie.douban.com/subject/1959195/
荒蛮故事,8.8,https://movie.douban.com/subject/24750126/
冰川时代,8.6,https://movie.douban.com/subject/1291578/
牯岭街少年杀人事件,8.9,https://movie.douban.com/subject/1292329/
爆裂鼓手,8.7,https://movie.douban.com/subject/25773932/
恐怖游轮,8.5,https://movie.douban.com/subject/3011051/
东京教父,9.0,https://movie.douban.com/subject/1310177/
魔女宅急便,8.7,https://movie.douban.com/subject/1307811/
大佛普拉斯,8.7,https://movie.douban.com/subject/27059130/
贫民窟的百万富翁,8.6,https://movie.douban.com/subject/2209573/
遗愿清单,8.7,https://movie.douban.com/subject/1867345/
东邪西毒,8.6,https://movie.douban.com/subject/1292328/
末路狂花,8.9,https://movie.douban.com/subject/1291992/
你看起来好像很好吃,8.9,https://movie.douban.com/subject/4848115/
可可西里,8.9,https://movie.douban.com/subject/1308857/
源代码,8.5,https://movie.douban.com/subject/3075287/
城市之光,9.3,https://movie.douban.com/subject/1293908/
黑天鹅,8.6,https://movie.douban.com/subject/1978709/
海边的曼彻斯特,8.6,https://movie.douban.com/subject/25980443/
疯狂的麦克斯4：狂暴之路,8.7,https://movie.douban.com/subject/3592854/
波西米亚狂想曲,8.6,https://movie.douban.com/subject/5300054/
真爱至上,8.5,https://movie.douban.com/subject/1292401/
雨人,8.7,https://movie.douban.com/subject/1291870/
青蛇,8.6,https://movie.douban.com/subject/1303394/
爱乐之城,8.4,https://movie.douban.com/subject/25934014/
初恋这件小事,8.5,https://movie.douban.com/subject/4739952/
芙蓉镇,9.3,https://movie.douban.com/subject/1297880/
终结者2：审判日,8.8,https://movie.douban.com/subject/1291844/
